AnimalRecord,AnimalID,PenID,OwnerRecord,Sex,Metric,Implants,Holstein,Beef,HideCode,Purchase,SalePrice,VetMed,Other,FreightSale,iDate,Age,HipHeight,AgeHipHeight,BCS,iBW,IsiBWShrunk,iEBFo,YG,HCW,FT,MrbClass,MrbPctl,Mrb,LMA,EBF,CF,AFBW,IsAFBWShrunk,cAFSBW,Exclude,Flag1,Flag2,Flag3
1,1,1,2,S,FALSE,TRUE,FALSE,TRUE,2,563.418,128,,,,11/9/2000,8.098360656,46.5,7.894736842,5,650.88,TRUE,,,724,0.4,,,,12.8,,,,FALSE,1226.258762,FALSE,FALSE,FALSE,FALSE
2,2,1,2,S,FALSE,TRUE,FALSE,TRUE,2,536.482,131,,,,11/9/2000,7.868852459,46.5,7.664473684,5,600.96,TRUE,,,745,0.45,,,,14.1,,,,FALSE,1235.590984,FALSE,FALSE,FALSE,FALSE
3,3,1,2,S,FALSE,TRUE,FALSE,TRUE,2,546.112,128,,,,11/9/2000,7.704918033,46.5,7.5,5,618.24,TRUE,,,836,0.6,,,,13,,,,FALSE,1242.342723,FALSE,FALSE,FALSE,FALSE
4,4,1,2,S,FALSE,TRUE,FALSE,TRUE,2,504.45,128,,,,11/9/2000,8.393442623,46,8.190789474,5,547.2,TRUE,,,754,0.5,,,,12.8,,,,FALSE,1196.233143,FALSE,FALSE,FALSE,FALSE
5,5,1,2,S,FALSE,TRUE,FALSE,TRUE,2,567.322,128,,,,11/9/2000,7.93442623,46.5,7.730263158,5,658.56,TRUE,,,815,0.45,,,,14.1,,,,FALSE,1232.910323,FALSE,FALSE,FALSE,FALSE
6,6,1,2,S,FALSE,TRUE,FALSE,TRUE,2,532.098,130,,,,11/9/2000,7.967213115,46,7.763157895,5,593.28,TRUE,,,806,0.45,,,,13.1,,,,FALSE,1213.357116,FALSE,FALSE,FALSE,FALSE
7,7,1,2,S,FALSE,TRUE,FALSE,TRUE,2,573.058,128,,,,11/9/2000,8.229508197,47.75,8.026315789,5,670.08,TRUE,,,780,0.75,,,,12.2,,,,FALSE,1266.55651,FALSE,FALSE,FALSE,FALSE
8,8,1,2,S,FALSE,TRUE,FALSE,TRUE,2,535.392,128,,,,11/9/2000,8.098360656,47.5,7.894736842,5,599.04,TRUE,,,750,0.35,,,,11.5,,,,FALSE,1262.702924,FALSE,FALSE,FALSE,FALSE
9,9,1,2,S,FALSE,TRUE,FALSE,TRUE,2,541.872,130,3.3,,,11/9/2000,8.327868852,46.75,8.125,5,610.56,TRUE,,,772,0.35,,,,13.5,,,,FALSE,1226.182126,FALSE,FALSE,FALSE,FALSE
10,10,1,2,S,FALSE,TRUE,FALSE,TRUE,2,561.442,131,,,,11/9/2000,7.508196721,45.25,7.302631579,5,647.04,TRUE,,,734,0.65,,,,12.2,,,,FALSE,1205.039299,FALSE,FALSE,FALSE,FALSE
11,11,1,2,S,FALSE,TRUE,FALSE,TRUE,2,539.728,132,,,,11/9/2000,8.229508197,46.5,8.026315789,5,606.72,TRUE,,,753,0.65,,,,11.2,,,,FALSE,1220.989033,FALSE,FALSE,FALSE,FALSE
12,12,1,2,S,FALSE,TRUE,FALSE,TRUE,2,550.288,132,,,,11/9/2000,8.393442623,45.75,8.190789474,5,625.92,TRUE,,,731,0.5,,,,12.6,,,,FALSE,1187.116578,FALSE,FALSE,FALSE,FALSE
13,13,1,8,S,FALSE,TRUE,FALSE,TRUE,2,439.45,121,,,,11/9/2000,8.557377049,42.5,8.355263158,5,451.2,TRUE,,,596,0.6,,,,9.6,,,,FALSE,1062.100937,FALSE,FALSE,FALSE,FALSE
14,14,1,8,S,FALSE,TRUE,FALSE,TRUE,2,425.25,128,,,,11/9/2000,8,43,7.796052632,5,432,TRUE,,,614,0.35,,,,10.8,,,,FALSE,1102.712324,FALSE,FALSE,FALSE,FALSE
15,15,1,8,S,FALSE,TRUE,FALSE,TRUE,2,532.098,132,,,,11/9/2000,8.163934426,45,7.960526316,5,593.28,TRUE,,,699,0.5,,,,12.4,,,,FALSE,1168.944565,FALSE,FALSE,FALSE,FALSE
16,16,1,5,S,FALSE,TRUE,FALSE,TRUE,2,491.008,129,,,,11/9/2000,7.31147541,42.25,7.105263158,5,526.08,TRUE,,,623,0.4,,,,10.4,,,,FALSE,1104.201568,FALSE,FALSE,FALSE,FALSE
17,17,1,5,S,FALSE,TRUE,FALSE,TRUE,2,613.762,121,,,,11/9/2000,10.49180328,48,10.29605263,5,762.24,TRUE,,,863,0.75,,,,12.6,,,,FALSE,1192.229777,FALSE,FALSE,FALSE,FALSE
18,18,1,5,S,FALSE,TRUE,FALSE,TRUE,2,601.218,130,,,,11/9/2000,10.8852459,47.5,10.69078947,5,731.52,TRUE,,,815,0.55,,,,13.7,,,,FALSE,1160.783054,FALSE,FALSE,FALSE,FALSE
19,19,1,5,S,FALSE,TRUE,FALSE,TRUE,2,610.722,130,,,,11/9/2000,9.573770492,47.75,9.375,5,754.56,TRUE,,,832,0.85,,,,12.4,,,,FALSE,1215.308005,FALSE,FALSE,FALSE,FALSE
20,20,1,5,S,FALSE,TRUE,FALSE,TRUE,2,550.288,131,,,,11/9/2000,7.147540984,47.75,6.940789474,5,625.92,TRUE,,,767,0.65,,,,13.4,,,,FALSE,1311.30008,FALSE,FALSE,FALSE,FALSE
21,21,1,5,S,FALSE,TRUE,FALSE,TRUE,2,480.928,131,,,,11/9/2000,6.786885246,44,6.578947368,5,510.72,TRUE,,,716,0.6,,,,12.8,,,,FALSE,1190.609907,FALSE,FALSE,FALSE,FALSE
22,22,1,5,S,FALSE,TRUE,FALSE,TRUE,2,554.4,127,,,,11/9/2000,7.147540984,47.25,6.940789474,5,633.6,TRUE,,,868,0.7,,,,13.2,,,,FALSE,1293.113597,FALSE,FALSE,FALSE,FALSE
23,23,1,5,S,FALSE,TRUE,FALSE,TRUE,2,593.712,130,,,,11/9/2000,10.26229508,48.5,10.06578947,5,714.24,TRUE,,,799,0.65,,,,12.3,,,,FALSE,1218.376722,FALSE,FALSE,FALSE,FALSE
24,24,1,4,S,FALSE,TRUE,FALSE,TRUE,2,457.312,131,,,,11/9/2000,7.344262295,43.75,7.138157895,5,476.16,TRUE,,,661,0.45,,,,12.8,,,,FALSE,1157.38226,FALSE,FALSE,FALSE,FALSE
25,25,1,4,S,FALSE,TRUE,FALSE,TRUE,2,412.128,128,11.43,,,11/9/2000,7.180327869,43,6.973684211,5,414.72,TRUE,,,657,0.5,,,,11.4,,,,FALSE,1137.115167,FALSE,FALSE,FALSE,FALSE
26,26,1,4,S,FALSE,TRUE,FALSE,TRUE,2,429.552,128,,,,11/9/2000,6.786885246,41.75,6.578947368,5,437.76,TRUE,,,724,0.45,,,,11.3,,,,FALSE,1108.831494,FALSE,FALSE,FALSE,FALSE
27,27,1,4,S,FALSE,TRUE,FALSE,TRUE,2,430.978,92,12.06,,,11/9/2000,7.442622951,42,7.236842105,5,439.68,TRUE,,,609,0.5,,,,11.5,,,,FALSE,1089.516565,FALSE,FALSE,FALSE,FALSE
28,28,1,11,S,FALSE,TRUE,FALSE,TRUE,2,466.65,129,,,,11/9/2000,8.098360656,43.75,7.894736842,5,489.6,TRUE,,,660,0.25,,,,12,,,,FALSE,1126.037317,FALSE,FALSE,FALSE,FALSE
