DietRecord,PenRecord,Metric,iDate,Days,Animals,Ionophore,IntakeAsFed,ME,NEm,NEg,DietCost,DMI
1,1,FALSE,11/9/2000,27,,TRUE,,,1.02,0.61,5.785297,
2,1,FALSE,12/7/2000,27,,TRUE,,,1.02,0.61,6.048701,
3,1,FALSE,1/4/2001,27,,TRUE,,,1.02,0.61,5.965411,
4,1,FALSE,2/1/2001,27,,TRUE,,,1.02,0.61,5.834103,
5,1,FALSE,3/1/2001,24,,TRUE,,,1.02,0.61,5.799698,
6,1,FALSE,3/26/2001,2,,TRUE,,,1.02,0.61,5.585313,
7,1,FALSE,3/29/2001,11,,TRUE,,,1.02,0.61,5.57743,
8,1,FALSE,4/10/2001,15,,TRUE,,,1.02,0.61,5.57743,
9,1,FALSE,4/26/2001,3,,TRUE,,,1.02,0.61,5.57743,
10,1,FALSE,4/30/2001,17,,TRUE,,,1.02,0.61,5.520045,
11,1,FALSE,5/18/2001,3,,TRUE,,,1.02,0.61,5.520045,
12,2,FALSE,11/9/2000,27,,TRUE,,,1.02,0.61,,
13,2,FALSE,12/7/2000,27,,TRUE,,,1.02,0.61,,
14,2,FALSE,1/4/2001,27,,TRUE,,,1.02,0.61,,
15,2,FALSE,2/1/2001,27,,TRUE,,,1.02,0.61,,
16,2,FALSE,3/1/2001,24,,TRUE,,,1.02,0.61,,
17,2,FALSE,3/26/2001,2,,TRUE,,,1.02,0.61,,
18,2,FALSE,3/29/2001,11,,TRUE,,,1.02,0.61,,
19,2,FALSE,4/10/2001,15,,TRUE,,,1.02,0.61,,
20,2,FALSE,4/26/2001,3,,TRUE,,,1.02,0.61,,
21,2,FALSE,4/30/2001,17,,TRUE,,,1.02,0.61,,
22,2,FALSE,5/18/2001,3,,TRUE,,,1.02,0.61,,
